"name", "rule"
"spam172", "(?i)(month\ from\ home)"
"spam173", "(?i)(work\ from\ home)"
"spam174", "(?i)(working\ from\ home)"
"spam175", "(?i)(\$)"
"spam176", "(?i)(low\ cost)"
"spam177", "(?i)(free\ training)"
"spam178", "(?i)(reveals\ everything)"
"spam179", "(?i)(step\-by\-step)"
"spam180", "(?i)(i\ would\ like\ to\ place\ an\ order)"
"spam181", "(?i)(why\ are\ you\ letting)"
"spam182", "(?i)(what\ if\ you\ could\ give\ your\ content\ legs)"
"spam183", "(?i)(paypal)"
"spam184", "(?i)(do\ follow)"
"spam185", "(?i)(boost\ your\ site\'s)"
"spam186", "(?i)(google\ ranking)"
"spam187", "(?i)(automated\ wordpress\ plugin)"
"spam188", "(?i)(it\'s\ all\ about\ perfect\ timing)"
"spam189", "(?i)(re\:\ website)"
"spam190", "(?i)(dropshipping)"
"spam191", "(?i)(income)"
"spam192", "(?i)(how\ to\ increase\ site\ traffic)"
"spam193", "(?i)(it\ might\ be\ too\ late)"
"spam194", "(?i)(are\ you\ looking\ for\ website\ traffic)"
"spam195", "(?i)(get\ a\ link\ on\ my\ site)"
"spam196", "(?i)(contains\ everything\ you\ need)"
"spam197", "(?i)(you\'re\ missing\ out\ on\ customers)"
"spam198", "(?i)(lightning\ fast)"
"spam199", "(?i)(web\ hosting)"
"spam200", "(?i)(for\ less\ than)"
"spam201", "(?i)(woodworking\ plans)"
"spam202", "(?i)(earth\'s\ largest\ database\ of\ woodworking\ projects)"
"spam203", "(?i)(how\ about\ travel)"
"spam204", "(?i)(plans\ inside)"
"spam205", "(?i)(reliable\ hosting)"
"spam206", "(?i)(the\ new\ digital\ marketing)"
"spam207", "(?i)(your\ 100\ off)"
"spam208", "(?i)(discount)"
"spam209", "(?i)(ends\ tonight)"
"spam210", "(?i)(millionaires)"
"spam211", "(?i)(millionaire)"
"spam212", "(?i)(million)"
"spam213", "(?i)(millions)"
"spam214", "(?i)(reveal\ how\ they\ made\ it)"
"spam215", "(?i)(the\ time\ has\ come)"
"spam216", "(?i)(consultation)"
"spam217", "(?i)(consulting)"
"spam218", "(?i)(consult)"
"spam219", "(?i)(we\ send\ your\ messages)"
"spam220", "(?i)(pause\.\ pause\.\ pause)"
"spam221", "(?i)(make\ your\ own\ mobile\ app)"
"spam222", "(?i)(for\ your\ website)"
"spam223", "(?i)(googlemail\.com)"
"spam224", "(?i)(job\ postings)"
"spam225", "(?i)(attention\ site\ owners)"
"spam226", "(?i)(write\ quality\ articles)"
"spam227", "(?i)(die\ )"
"spam228", "(?i)(das\ )"
"spam229", "(?i)(are\ you\ hiring)"
"spam230", "(?i)(how\ to\ convert)"
"spam231", "(?i)(into\ phone\ calls)"
"spam232", "(?i)(i\ think\ i\ can\ assist)"
"spam233", "(?i)(here\'s\ how\ to\ solve\ the\ content\/value\ problem)"
"spam234", "(?i)(cbd\ oil)"
"spam235", "(?i)(buy\ quality)"
"spam236", "(?i)(great\ news)"
"spam237", "(?i)(you\ deserve\ more\ clients)"
"spam238", "(?i)(\@gmail\.com)"
"spam239", "(?i)(save\ thousands)"
"spam240", "(?i)(this\ new\ app)"
"spam241", "(?i)(does\ your\ hosting\ company)"
"spam242", "(?i)(best\ offer)"
"spam243", "(?i)(ihre)"
"spam244", "(?i)(adidas)"
"spam245", "(?i)(yeezy)"
"spam246", "(?i)(save\ a\ massive)"
"spam247", "(?i)(it\'s\ all\ about\ perfect\ timing)"
"spam248", "(?i)(convert\ website\ visitors)"
"spam249", "(?i)(artificial\ intelligence)"
"spam250", "(?i)(transform\ your\ store)"
"spam251", "(?i)(question\ about\ hiring)"
"spam252", "(?i)(the\ complete\ all\-in\-one)"
"spam253", "(?i)(seo\ tool)"
"spam254", "(?i)(localleadsavalanche)"
"spam255", "(?i)(local\ leads)"
"spam256", "(?i)(more\ conversions)"
"spam257", "(?i)(\@hotmail\.com)"
"spam258", "(?i)(must\ have\ app)"
"spam259", "(?i)(and\ it\'s\ this\ easy)"
"spam260", "(?i)(sending\ newsletters)"
"spam261", "(?i)(stop\ wasting\ money)"
"spam262", "(?i)(stop\ wasting\ time)"
"spam263", "(?i)(rank\ on\ google)"
"spam264", "(?i)(bad\ hosting)"
"spam265", "(?i)(killing\ your)"
"spam266", "(?i)(have\ you\ seen\ this\ yet)"
"spam267", "(?i)(animations)"
"spam268", "(?i)(your\ quotation\ request)"
"spam269", "(?i)(create\ cash\ pulling)"
"spam270", "(?i)(instagram\ likes)"
"spam271", "(?i)(soundcloud\ reposts)"
"spam272", "(?i)(instagram\ views)"
"spam273", "(?i)(youtube\ subscribers)"
"spam274", "(?i)(youtube\ subscribes)"
"spam275", "(?i)(buy\ facebook)"
"spam276", "(?i)(buy\ soundcloud)"
"spam277", "(?i)(buy\ followers)"
"spam278", "(?i)(web\ page\ builder)"
"spam279", "(?i)(strike\ when\ the\ iron\'s\ hot)"
"spam280", "(?i)(we\ offer\ sending)"
"spam281", "(?i)(how\ to\ get\ \$)"
"spam282", "(?i)(more\ leads)"
"spam283", "(?i)(forex)"
"spam284", "(?i)(don\'t\ miss\ out\ on\ this\ opportunity)"
"spam285", "(?i)(wp\ themes\ \&\ plugins)"
"spam286", "(?i)(backlink)"
"spam287", "(?i)(question\ about\ partnership)"
"spam288", "(?i)(\@yahoo\.com)"
"spam289", "(?i)(website\ manager)"
"spam290", "(?i)(\.com\ notice)"
"spam291", "(?i)(i\ want\ to\ pay\ you\ to\ post\ an\ article\ on\ your\ site)"
"spam292", "(?i)(reliable\ and\ fast\ hosting)"
"spam293", "(?i)(explainer\ videos)"
"spam294", "(?i)(i\ hope\ you\'re\ doing\ well)"
"spam295", "(?i)(we\ will\ send\ your\ commercial\ offers)"
"spam296", "(?i)(there\ they\ go)"
"spam297", "(?i)(contact\ configurations)"
"spam298", "(?i)(google\ local)"
"spam299", "(?i)(stomach)"
"spam300", "(?i)(build\ stunning\ websites)"
"spam301", "(?i)(sex)"
"spam302", "(?i)(dating)"
"spam303", "(?i)(date)"
"spam304", "(?i)(adult)"
"spam305", "(?i)(million)"
"spam306", "(?i)(usd)"
"spam307", "(?i)(reply\ yes)"
"spam308", "(?i)(freelancer)"
"spam309", "(?i)(i\ am\ a\ virtual\ assistant)"
"spam310", "(?i)(reply\ "yes")"
"spam311", "(?i)(ppc\ advertising)"
"spam312", "(?i)(are\ you\ still\ serving\ customers\ right\ now)"
"spam313", "(?i)(click\ here)"
"spam314", "(?i)(marketing)"
"spam315", "(?i)(we\ have\ available\ the\ following)"
"spam316", "(?i)(minimum\ order\ requirements)"
"spam317", "(?i)(robot)"
"spam318", "(?i)(quick\ review\ of\ your\ website)"
"spam319", "(?i)(more\ customers)"
"spam320", "(?i)(are\ you\ interested\ in\ selling\ your\ domain)"
"spam321", "(?i)(we\ could\ hop\ on\ a\ quick\ call\ to\ discuss)"
"spam322", "(?i)(athletic\ wear)"
"spam323", "(?i)(apparel)"
"spam324", "(?i)(I\'d\ be\ more\ than\ happy\ to\ go\ over\ everything\ with\ you)"
"spam325", "(?i)(50\,000)"
"spam326", "(?i)(million)"
"spam327", "(?i)(1m)"
"spam328", "(?i)(2m)"
"spam329", "(?i)(3m)"
"spam330", "(?i)(4m)"
"spam331", "(?i)(5m)"
"spam332", "(?i)(6m)"
"spam333", "(?i)(7m)"
"spam334", "(?i)(8m)"
"spam335", "(?i)(9m)"
"spam336", "(?i)(10m)"
"spam337", "(?i)(messages)"
"spam338", "(?i)(free\ test)"
"spam339", "(?i)(expires\ soon)"
"spam340", "(?i)(influencer\ relations)"
"spam341", "(?i)(\.photos)"
"spam342", "(?i)(voucher)"
"spam343", "(?i)(\.xyz)"
"spam344", "(?i)(\.space)"
"spam345", "(?i)(\.live)"
"spam346", "(?i)(post\ content\ on\ your\ site)"
"spam347", "(?i)(SEO)"
"spam348", "(?i)(you\ showed\ up\ at\ the\ top\ of\ the\ search\ results)"
"spam349", "(?i)(urge\ you\ to\ visit)"
"spam350", "(?i)(\.website)"
"spam351", "(?i)(\.site)"
"spam352", "(?i)(\.online)"
"spam353", "(?i)(bit\.ly)"
"spam354", "(?i)(\.ly)"
"spam355", "(?i)(repayment)"
"spam356", "(?i)(best\-selling)"
"spam357", "(?i)(\.tech)"
"spam358", "(?i)(\.pw)"
"spam359", "(?i)(leads)"
"spam360", "(?i)(traffic)"
"spam361", "(?i)(outrank)"
"spam362", "(?i)(competition)"
"spam363", "(?i)(back\ pain)"
"spam364", "(?i)(costing\ you\ money)"
"spam365", "(?i)(income)"
"spam366", "(?i)(paypal)"
"spam367", "(?i)(100x)"
"spam368", "(?i)(leads)"
"spam369", "(?i)(test\ drive)"
"spam370", "(?i)(see\ how\ this\ works)"
"spam371", "(?i)(do\ follow)"
"spam372", "(?i)(please\ reply\ \"yes\")"
"spam373", "(?i)(just\ reply\ \"yes\")"
